Date,Package,Coverage,Instructions
11/14/2012,org.adligo.xml_io.generator,0.0%,2178
11/14/2012,org.adligo.xml_io.generator.models,46.0%,2104
11/14/2012,org.adligo.xml_io.generator.utils,0.0%,788
2/4/2014,org.adligo.xml_io.generator,0.0%,2282
2/4/2014,org.adligo.xml_io.generator.models,45.9%,2096
2/4/2014,org.adligo.xml_io.generator.utils,0.0%,933
2/12/2014,org.adligo.xml_io.generator,0.0%,3213
2/12/2014,org.adligo.xml_io.generator.models,33.6%,2879
2/12/2014,org.adligo.xml_io.generator.utils,0.0%,1226
